

Absolute value: Απόλυτη Τιμή
All: Όλα
Any: Οποιαδήποτε
Ascii: Ascii
Binary: Δυαδικό
Boolean: Μπουλονικό
Byte array: Πίνακας Byte
Bytes: Bytes
Callable: Κλήσιμο
Character: Χαρακτήρας


Τάξη μέθοδος, καταγράφω, σύνθετο, διαγράφω ιδιότητα, λεξικό, κατάλογος, διαίρεση μόδουλος, αποτελείται, αξιολογώ, εκτελώ.


Φίλτρο, Ποντάρισμα Μικροσκοπικής Τιμής, Μορφή, Κατεψυγμένο Σύνολο, Πάρε Το Χαρακτηριστικό, Γενικά, Έχει Χαρακτηριστικό, Κατακερματισμός, Βοήθεια, Εξαδική Μορφή.


Ταυτότητα, εισαγωγή, ακέραιος, είναι στιγμιότυπο, είναι υποκλάση, επαναληπτής, μήκος, λίστα, τοπικοί, χάρτης


Μέγιστο, Προβολή Μνήμης, Ελάχιστο, Επόμενο, Αντικείμενο, Οκταλικό, Ανοιχτό, Ταξινομικό, Δύναμη, Εκτύπωση


Ιδιοκτησία, Εύρος, Αντιπροσωπεύω, Ανεστραμμένο, Κυκλικό, Σετ, Ορισμός ιδιοτήτων, Τμήμα, Ταξινομημένο, Στατική μέθοδος


Στήθος, Αθροίσματα, Υπερσύνολο, Συμπλεκτής, Τύπος, Μεταβλητές, Συμπίεση, Κεφαλαία, Φέρετρο Υποθέσεων, Κέντρο


Μετρήστε: καταγράψτε, τελειώνει με, επεκτείνετε τα κουμπιά tab, βρείτε, μορφοποιήστε τον χάρτη, ευρετήριο, είναι αλφαριθμητικό, είναι αλφαβητικό, είναι ascii.


Είναι δεκαδικό, είναι ψηφίο, είναι αναγνωριστικό, είναι χαμηλό, είναι αριθμητικό, είναι εκτυπώσιμο, είναι διάστημα, είναι τίτλος, είναι κεφαλαία, συνδέστε


Αριστερή διατύπωση, κάτω, αριστερό διαδίκτυο, κάντε μετάφραση, διαίρεση, αντικαταστήστε, αντίστροφη εύρεση, αντίστροφη ευρετηρίου, δεξιά διατύπωση, δεξιά διαίρεση.


Δεξιά Διαίρεση, Δεξιά Επικολλήστρα, Διαίρεση, Διαίρεση Γραμμών, Ξεκινά με, Επικολλήστρα, Αντιμεταθέτηση Κεφαλαίων, Τίτλος, Μετάφραση, Κεφαλαία


Μηδέν γέμισμα, προσάρτηση, καθαρισμός, αντιγραφή, επέκταση, εισαγωγή, αποσπάσματος, αφαίρεση, αντιστροφή, ταξινόμηση


Κλειδιά, να λάβετε, αντικείμενα, κλειδιά, αντικείμενο pop, να ορίσετε προεπιλογή, να ενημερώσετε, τιμές, να προσθέσετε, διαφορά


Διαφορά ενημέρωσης, απόρριψη, τομή, ενημέρωση της τομής, είναι ασύνδετο, είναι υποσύνολο, είναι υπερσύνολο, ομοιόμορφη διαφορά, ενημέρωση ομοιόμορφης διαφοράς, ένωση


Κλείσιμο, αποσπάσετε, αριθμός αρχείου, σκοτώσετε, είναι διαδραστικό, διαβάστε, αναγνώσιμο, διαβάστε γραμμή, διαβάστε γραμμές, αναζητήστε.


Ψάξει: ζητήσει, Πείτε: λέει, Τεμαχισμός: τεμαχισμός, Εγγράψιμο: εγγράψιμο, Γράψε: γράψε, Γράψτε γραμμές: γράψτε γραμμές, Και: και, Όπως: όπως, Προσδιορίστε: προσδιορίστε, Σπάστε: σπάστε


Τάξη, συνεχίστε, ορίστε, διαγράψτε, διαφορετικά αν, διαφορετικά, εκτός, Ψευδές, τελικά, για.


από, καθολικό, εάν, εισαγωγή, μέσα, είναι, λάμδα, κανένα, μη τοπικό, δεν


ή, παράλειψη, να προκαλέσει εξαίρεση, επιστροφή, Αληθές, δοκιμάστε, ενώ, με, δώσει, Αριθμητικό Σφάλμα


Σφάλμα Παραγωγής, Σφάλμα Ιδιότητας, Εξαίρεση, Σφάλμα Τέλους Αρχείου, Σφάλμα Πλειστηριακής Τιμής, Έξοδος Παραγωγής, Σφάλμα Εισαγωγής, Σφάλμα Εσοχής, Σφάλμα Ευρετηρίου, Σφάλμα Κλειδιού.


Διακοπή Πληκτρολογίου, Σφάλμα Αναζήτησης, Σφάλμα Μνήμης, Σφάλμα Ονόματος, Σφάλμα Μη Υλοποιημένου, Σφάλμα Λειτουργικού Συστήματος, Υπερχείλιση Σφάλματος, Σφάλμα Αναφοράς, Σφάλμα Εκτέλεσης, Σταμάτημα Επανάληψης.


Συντακτικό Σφάλμα, Σφάλμα Καρτέλας, Σφάλμα Συστήματος, Έξοδος Συστήματος, Σφάλμα Τύπου, Σφάλμα Αποκοπής Τοπικής Μεταβλητής, Σφάλμα Unicode, Σφάλμα Κωδικοποίησης Unicode, Σφάλμα Αποκωδικοποίησης Unicode, Σφάλμα Μετάφρασης Unicode


Σφάλμα Αξίας, Σφάλμα Διαίρεσης Με Μηδέν
